Texture,Silt,Clay,airentry,b,Ks,field,wilting
sand,0.05,0.03,0.7,1.7,0.0058,0.09,0.03
loamy sand,0.12,0.07,0.9,2.1,0.0017,0.13,0.06
sandy loam,0.25,0.1,1.5,3.1,0.00072,0.21,0.1
loam,0.4,0.18,1.1,4.5,0.00037,0.27,0.12
silt loam,0.65,0.15,2.1,4.7,0.00019,0.33,0.13
sandy clay loam,0.13,0.27,2.8,4,0.0012,0.26,0.15
clay loam,0.34,0.34,2.6,5.2,0.000064,0.32,0.2
silty clay loam,0.58,0.33,3.3,6.6,0.000042,0.37,0.32
sandy clay,0.07,0.4,2.9,6,0.000033,0.34,0.24
silty clay,0.45,0.45,3.4,7.9,0.000025,0.39,0.25
clay,0.2,0.6,3.7,7.6,0.000017,0.4,0.27
