"","JULDAY","TIME","D0cm","D1.5cm","D3.5cm","D5cm","D10cm","D15cm","D30cm","D60cm","D100cm","D200cm"
"1",1,0,4.93616104125977,5.00473785400391,5.10405206680298,5.18366432189941,5.46629524230957,5.72259378433228,6.1065616607666,5.40293598175049,5.15842151641846,5.15054798126221
"2",1,60,3.36485409736633,3.85293984413147,4.3640284538269,4.66670036315918,5.27390575408936,5.612868309021,6.02079725265503,5.42072153091431,5.16200256347656,5.15054798126221
"3",1,120,2.9107973575592,3.24774789810181,3.67338252067566,3.96920919418335,4.79272079467773,5.36079120635986,5.93071222305298,5.43423366546631,5.16573572158813,5.15054798126221
"4",1,180,2.81759977340698,3.05926012992859,3.42989444732666,3.68302512168884,4.45677423477173,5.06038522720337,5.82412815093994,5.4433159828186,5.1695556640625,5.15054798126221
"5",1,240,2.76206755638123,2.99521088600159,3.30201148986816,3.52625560760498,4.22576951980591,4.80580520629883,5.70482158660889,5.4476842880249,5.17339849472046,5.15054798126221
"6",1,300,2.91192197799683,3.07467484474182,3.30435085296631,3.48063540458679,4.0757851600647,4.6075963973999,5.58049011230469,5.44731664657593,5.17718982696533,5.15054798126221
"7",1,360,3.69119381904602,3.65543866157532,3.67350935935974,3.72390747070312,4.06794214248657,4.48134899139404,5.4584436416626,5.44246912002563,5.18086671829224,5.15054798126221
"8",1,420,4.96029090881348,4.70943403244019,4.47525215148926,4.36254262924194,4.3092360496521,4.48644399642944,5.34907150268555,5.43369007110596,5.18437242507935,5.15054798126221
"9",1,480,6.51229953765869,6.06046676635742,5.58383226394653,5.30470609664917,4.79922294616699,4.66580820083618,5.26731634140015,5.42198181152344,5.187659740448,5.15054798126221
"10",1,540,8.15932369232178,7.54653120040894,6.86211967468262,6.43484830856323,5.48964166641235,5.0206184387207,5.2280158996582,5.40883588790894,5.19070148468018,5.15054798126221
"11",1,600,9.64731597900391,8.94767284393311,8.13423538208008,7.6047158241272,6.30304765701294,5.52148342132568,5.24198961257935,5.39614391326904,5.19349527359009,5.15054798126221
"12",1,660,10.7810707092285,10.0755519866943,9.22614669799805,8.65378379821777,7.13399839401245,6.11182880401611,5.31358766555786,5.38595485687256,5.19606733322144,5.15054798126221
"13",1,720,11.5929412841797,10.9167327880859,10.0826807022095,9.50671672821045,7.89483070373535,6.72278022766113,5.43942451477051,5.38020706176758,5.19847297668457,5.15054798126221
"14",1,780,11.9415864944458,11.3661623001099,10.6290645599365,10.102391242981,8.53102493286133,7.29909324645996,5.60989141464233,5.38045978546143,5.20078992843628,5.15054798126221
"15",1,840,11.7381258010864,11.3289356231689,10.7692623138428,10.3471326828003,8.96903038024902,7.78652811050415,5.811203956604,5.38773441314697,5.20311260223389,5.15054798126221
"16",1,900,11.0234622955322,10.8161449432373,10.4849758148193,10.2068395614624,9.15403270721436,8.13156127929688,6.02584505081177,5.40240383148193,5.2055459022522,5.15054798126221
"17",1,960,9.81645202636719,9.84304904937744,9.78361892700195,9.68205833435059,9.06210041046143,8.29573249816895,6.23409175872803,5.4241189956665,5.20819139480591,5.15054798126221
"18",1,1020,8.28610420227051,8.53433609008789,8.74270248413086,8.823317527771,8.69320964813232,8.25630950927734,6.41607761383057,5.4518141746521,5.21113967895508,5.15054798126221
"19",1,1080,6.59232425689697,7.03226470947266,7.48120546340942,7.73129987716675,8.09050846099854,8.01600360870361,6.55398750305176,5.48378467559814,5.2144570350647,5.15054798126221
"20",1,1140,4.97142457962036,5.53567743301392,6.15842914581299,6.53919982910156,7.32345914840698,7.60174465179443,6.6345362663269,5.51785612106323,5.2181830406189,5.15054798126221
"21",1,1200,4.38320112228394,4.7968168258667,5.30707168579102,5.65381097793579,6.56450748443604,7.07779455184937,6.65114068984985,5.55161809921265,5.22232151031494,5.15054798126221
"22",1,1260,4.46826887130737,4.7131552696228,5.04856252670288,5.29591941833496,6.05753755569458,6.59124994277954,6.61012411117554,5.58279228210449,5.22684335708618,5.15054798126221
"23",1,1320,4.65406656265259,4.81649827957153,5.04362964630127,5.21708726882935,5.78688287734985,6.23742151260376,6.5312762260437,5.6097583770752,5.23169088363647,5.15054798126221
"24",1,1380,4.82491779327393,4.93588876724243,5.09629917144775,5.22068405151367,5.64562225341797,6.00906229019165,6.43536567687988,5.63179588317871,5.23679304122925,5.15054798126221
"25",2,0,4.96484613418579,5.04565000534058,5.16139602661133,5.25309944152832,5.57486724853516,5.86734008789062,6.33649158477783,5.64888477325439,5.24207258224487,5.15054798126221
"26",2,60,5.04744815826416,5.11496734619141,5.21021842956543,5.28415441513062,5.54030609130859,5.77999687194824,6.24246788024902,5.66140365600586,5.24745559692383,5.15054798126221
"27",2,120,5.1203761100769,5.17330694198608,5.24955034255981,5.30936574935913,5.52029323577881,5.72289991378784,6.15677404403687,5.66990995407104,5.2528829574585,5.15054798126221
"28",2,180,5.19590473175049,5.2357931137085,5.29447031021118,5.34161138534546,5.51321029663086,5.68412351608276,6.08037185668945,5.67499971389771,5.25829696655273,5.15054798126221
"29",2,240,5.5679874420166,5.52024221420288,5.48580121994019,5.4789080619812,5.54609394073486,5.6641058921814,6.01340246200562,5.6772403717041,5.26365327835083,5.15054798126221
"30",2,300,5.83677625656128,5.77594614028931,5.71619939804077,5.68409204483032,5.65111541748047,5.68738126754761,5.95760726928711,5.67719125747681,5.26891756057739,5.15054798126221
"31",2,360,6.40053606033325,6.23795032501221,6.06861877441406,5.97087574005127,5.79789161682129,5.74845361709595,5.91565704345703,5.67546939849854,5.27406358718872,5.15054798126221
