"","x"
"1",0
"2",0
"3",0
"4",14.3000001907349
"5",0
"6",0
"7",0
"8",0
"9",0
"10",10.5
"11",16.7999992370605
"12",0
"13",0
"14",3.70000004768372
"15",0
"16",0
"17",0
"18",0
"19",2.5
"20",0
"21",0
"22",0
"23",0
"24",0
"25",0
"26",0
"27",0
"28",0
"29",0
"30",0
"31",0
"32",0
"33",0
"34",0
"35",15.5
"36",21.7999992370605
"37",0
"38",0
"39",0
"40",0
"41",0
"42",4.59999990463257
"43",0
"44",0
"45",0
"46",0
"47",0
"48",0
"49",0
"50",0
"51",0
"52",0
"53",0
"54",2.79999995231628
"55",15.3999996185303
"56",2.5
"57",0
"58",0
"59",0
"60",0
"61",0
"62",0
"63",25.7000007629395
"64",20.8999996185303
"65",1.70000004768372
"66",0
"67",2.5
"68",0
"69",0
"70",0
"71",0
"72",0
"73",0
"74",0
"75",0
"76",0
"77",0
"78",0
"79",1.79999995231628
"80",43.7999992370605
"81",2.70000004768372
"82",1.70000004768372
"83",0
"84",0
"85",0
"86",0
"87",0
"88",0
"89",0
"90",0
"91",0
"92",0
"93",0
"94",0
"95",6.09999990463257
"96",0
"97",7.40000009536743
"98",25.6000003814697
"99",0
"100",0
"101",0
"102",0
"103",10.1000003814697
"104",0
"105",0
"106",8.60000038146973
"107",0
"108",10.6999998092651
"109",0
"110",0
"111",0
"112",2
"113",3.09999990463257
"114",0
"115",1.70000004768372
"116",0
"117",0
"118",0
"119",0
"120",0
"121",0
"122",0
"123",0
"124",0
"125",0
"126",0
"127",0
"128",0
"129",0
"130",0
"131",0
"132",2.59999990463257
"133",0
"134",0
"135",0
"136",0
"137",0
"138",0
"139",0
"140",1.20000004768372
"141",6.90000009536743
"142",1.5
"143",3.40000009536743
"144",9.60000038146973
"145",14.8000001907349
"146",2.09999990463257
"147",0
"148",0
"149",6.5
"150",7.69999980926514
"151",0
"152",0
"153",0
"154",0
"155",0
"156",0
"157",0
"158",0
"159",0
"160",4.19999980926514
"161",6.09999990463257
"162",0
"163",0
"164",0
"165",0
"166",0
"167",3.79999995231628
"168",69.9000015258789
"169",0
"170",0
"171",0
"172",0
"173",0
"174",0
"175",1.70000004768372
"176",0
"177",2.09999990463257
"178",0
