Age_years,SVL,Age_days
0,50.37,0
1.477,62.56,539.105
2.84,74.811,1036.6
4.182,87.25,1526.43
5.545,98.895,2023.925
7.051,110.948,2573.615
8.686,122.177,3170.39
10.609,133.859,3872.285
12.423,144.665,4534.395
14.397,154.192,5254.905
16.391,162.948,5982.715
18.751,170.951,6844.115
21.327,178.422,7784.355
23.917,185.323,8729.705
26.551,191.243,9691.115
29.162,196.361,10644.13
31.975,200.568,11670.875
34.773,203.866,12692.145
37.715,206.559,13765.975
40.492,209.325,14779.58
43.161,211.449,15753.765
46.053,213.802,16809.345
48.852,215.316,17830.98
51.773,216.226,18897.145
54.658,217.174,19950.17
57.356,217.815,20934.94
59.866,218.688,21851.09
