Age_years,Mass_g,Age_days,365
0,4.27,0,
2.817,12.693,1028.205,
3.778,22.188,1378.97,
4.798,33.965,1751.27,
5.977,45.537,2181.605,
7.309,59.649,2667.785,
8.474,74.425,3093.01,
9.429,87.227,3441.585,
10.531,100.992,3843.815,
11.598,115.768,4233.27,
12.608,131.218,4601.92,
13.797,150.615,5035.905,
14.808,165.073,5404.92,
16.102,183.598,5877.23,
17.168,200.704,6266.32,
18.457,221.757,6736.805,
19.567,234.669,7141.955,
21.178,254.631,7729.97,
22.443,266.65,8191.695,
23.639,279.344,8628.235,
25.443,298.532,9286.695,
27.141,315.847,9906.465,
28.951,330.841,10567.115,
30.687,345.726,11200.755,
32.565,358.747,11886.225,
34.355,369.109,12539.575,
36.083,376.835,13170.295,
37.901,384.56,13833.865,
39.486,392.493,14412.39,
40.707,395.032,14858.055,
43.012,402.975,15699.38,
45.22,408.261,16505.3,
47.289,410.908,17260.485,
49.298,413.447,17993.77,
51.466,418.742,18785.09,
54.491,421.489,19889.215,
56.734,423.255,20707.91,
58.793,425.902,21459.445,
59.889,425.902,21859.485,
