Index,Day,Month,Year,Initials,SVL,VT,R,Weight,Sex,Page,Comments,PredictedMass,CorrectedMass,FinalMass,,
29A,12,5,1992,AC,258,282,C,610,M,18,,500.7717055,610.6972019,610,,
34,4,2,1972,IC,83,86,C,20.5,J,18,,16.9875036,20.7164678,20.5,,
42,4,2,1972,IC,220,236,C,384.5,M,18,,316.703387,386.2236427,384.5,,
48,4,2,1972,IC,201,193,C,269.5,F,18,,226.1638431,275.8095648,269.5,,
54,4,2,1972,IC,249,271,C,534.5,M,18,,439.1268902,535.5205979,534.5,,
56,7,2,1972,IC,110,113,C,46.5,J,18,,38.58924389,47.06005353,46.5,,
60,7,2,1972,IC,175,178,C,174.5,JF,18,,145.0567434,176.8984675,174.5,,
62,7,2,1972,IC,202,216,C,279.5,F,18,,230.3469179,280.9108755,279.5,,
64,18,12,1949,WD,260,248,C,737,,18,,619.1475856,755.0580312,737,,
65,18,12,1949,WD,197,133,C,203,F,18,,178.8978149,218.1680669,203,,
65,3,2,1972,IC,211,228,C,309,M,18,,254.1882332,309.9856502,309,,
89,3,2,1972,IC,106,114,C,43,J,19,,35.40209417,43.17328557,43,,
95,3,2,1972,IC,262,290,C,719,M,19,,588.9179271,718.192594,719,,
288,3,2,1972,IC,183,194,C,214,F,19,,176.6329843,215.4060784,214,,
321,3,2,1972,IC,99,101,C,31,J,19,,25.75632222,31.41014905,31,,
337,3,2,1972,IC,97,101,C,31,J,19,,25.66680546,31.30098227,31,,
416,3,2,1972,IC,152,158,C,119,J,19,,98.55613009,120.1904026,119,,
449,4,2,1972,IC,152,154,C,109.5,J,19,,91.08435665,111.0784837,109.5,,
473,4,2,1972,IC,83,97,C,195,J,19,,158.1230639,192.8330048,195,,
480,4,2,1972,IC,179,205,C,179.5,JM,19,,146.1081025,178.1806128,179.5,,
512,18,12,1949,WD,254,305,C,652,,19,,525.9655221,641.4213684,652,,
529,4,2,1972,IC,160,167,C,124.5,JF,19,,103.0384218,125.656612,124.5,,
537,4,2,1972,IC,118,122,C,51.5,J,19,,42.69178168,52.06314838,51.5,,
541,4,2,1972,IC,249,260,C,534.5,M,19,,442.3305662,539.4275197,534.5,,
543,4,2,1972,IC,220,239,C,419.5,F,19,,344.7592976,420.4381678,419.5,,
561,18,12,1949,WD,172,172,C,241,,19,,200.9075786,245.0092421,241,,
569,18,12,1949,WD,206,203,C,354,,19,,295.8257538,360.7631143,354,,
573,18,12,1949,WD,49,54,C,5,J,19,,4.098631255,4.998330799,5,,
575,18,12,1949,WD,63,70,C,11,J,19,,9.003629764,10.9800363,11,,
576,18,12,1949,WD,241,279,C,652,M,20,,529.6412732,645.9039917,652,,
704,18,12,1949,WD,222,260,C,482,,20,,390.68995,476.4511585,482,,
768,18,12,1949,WD,203,260,C,369,F,20,,293.8858229,358.397345,369,,
768A,5,11,1976,DN,221,263,C,420,F,20,,339.3990644,413.901298,420,,
768A,27,9,1983,DN,221,263,C,410,F,20,,331.3181343,404.0465052,410,,
801,18,12,1949,WD,184,216,C,312,M,20,,252.7826291,308.2714989,312,,
817,18,12,1949,WD,216,254,C,425,,20,,344.2232864,419.7844957,425,,
825,18,12,1949,WD,267,190,C,822,,20,,719.7857283,877.7874735,822,,
829,18,12,1949,WD,273,324,C,992,,20,,802.0462954,978.1052383,992,,
831,18,12,1949,WD,267,343,C,907,M,20,,721.9273236,880.3991751,907,,
832,18,12,1949,WD,206,216,C,425,,20,,351.459331,428.6089402,425,,
896,18,12,1949,WD,181,210,C,283,,21,,229.7955158,280.2384339,283,,
1025,6,11,1949,WD,241,267,C,709,,21,,580.6309401,708.0865123,709,,
1049,6,11,1949,IC,238,210,C,610,F,21,,518.6725075,632.5274482,610,,
1055,6,11,1949,WD,229,203,C,567,,21,,481.7743708,587.5297205,567,,
1056,6,11,1949,WD,152,133,C,113,J,22,,96.20198207,117.3194903,113,,
1057,21,2,1972,IC,176,197,C,179.8,J,22,,146.9714003,179.233415,179.8,,
1066,21,2,1972,IC,186,180,C,214.9,F,22,,180.1161141,219.6537977,214.9,,
1073,18,2,1971,IC,167,187,C,170,JM?,22,,138.9506983,169.4520711,170,,
1073,21,2,1972,IC,174,177,C,149.8,J,22,,124.5223211,151.8564891,149.8,,
1080,,2,1988,MEM,43.2,48,C,3.85,J,22,,3.151270417,3.843012704,3.85,,
1081,21,2,1972,IC,170,174,C,173.5,JF,22,,144.0728366,175.6985812,173.5,,
1084,,2,1988,MEM,47.6,53,C,4.64,J,22,,3.796447236,4.629813702,4.64,,
1086,,2,1988,MEM,78.6,89,C,19.96,J,22,,16.2811056,19.85500683,19.96,,
1089,10,11,1992,AC,59,62,C,6.4,J,22,,5.290552673,6.451893504,6.4,,
1119,9,11,1992,AC,135,136,C,85,JM,22,,70.77230769,86.30769231,85,,
1345,10,11,1992,AC,73,75,C,15,J,22,,12.44788647,15.18034936,15,,
1361,9,11,1992,AC,149,159,C,115,JM,22,,94.81020501,115.6222012,115,,
1369,9,11,1992,AC,126,131,C,65,JF,22,,53.83132214,65.64795383,65,,
1473,10,11,1992,AC,111,116,C,42,J,23,,34.75251649,42.38111767,42,,
1536,21,2,1972,IC,214,252,C,316.9,?,23,,256.600891,312.9279158,316.9,,
1553,9,11,1992,AC,132,149,C,90,JF,23,,73.45397713,89.57802089,90,,
1568,6,11,1949,WD,229,235,C,454,,23,,376.8306906,459.5496227,454,,
1569A,2,10,1987,AC,212,238,C,373,F,23,,304.7309796,371.6231458,373,,
1584,,4,1988,MEM,48.5,51,C,5.01,J,23,,4.14103331,5.050040622,5.01,,
1585,,,1986,DN,212,220,C,424,F,23,,351.2588639,428.3644682,424,,
1592,,2,1988,MEM,40.5,44,C,3.11,J,23,,2.555879733,3.116926503,3.11,,
1593,21,2,1972,IC,204,225,C,313.5,F,23,,256.946336,313.3491902,313.5,,
1596,,2,1988,MEM,46.8,49,C,4.3,J,23,,3.556842551,4.337612867,4.3,,
1597,21,2,1972,IC,152,165,C,120.5,J,23,,99.04457927,120.7860723,120.5,,
1598,,2,1988,MEM,74.4,79,C,18.02,J,23,,14.86927848,18.13326644,18.02,,
1600,21,2,1972,IC,206,230,C,310.5,F,23,,253.9242029,309.6636621,310.5,,
1601,10,11,1992,AC,68,73,C,13,J,23,,10.70637521,13.05655513,13,,
1729,9,11,1992,AC,61,64,C,10,J,24,,8.268762586,10.08385681,10,,
1745,8,11,1992,AC,169,190,C,200,JF,24,,163.3515147,199.2091643,200,,
1824,6,11,1949,WD,216,216,C,468,,24,,390.1441774,475.7855823,468,,
1840,,4,1968,MEM,49.6,52,C,4.74,J,24,,3.919906542,4.780373832,4.74,,
1848,,2,1988,MEM,45.8,49,C,4.24,J,24,,3.4940274,4.261009024,4.24,,
1852,,2,1988,MEM,43.6,48,C,3.57,J,24,,2.92696059,3.569464134,3.57,,
1854,,2,1988,MEM,54.6,65,C,7.92,J,24,,6.399651907,7.804453545,7.92,,
1856,21,2,1972,IC,249,275,C,614.1,M,24,,503.1982422,613.656393,614.1,,
1887,8,6,1992,AC,180,198,C,230,F,25,,188.6,230,230,,
1920A,21,2,1972,IC,146,155,C,106.4,J,25,,87.79906762,107.0720337,106.4,,
1921,7,8,1992,AC,54,56,C,7,J,25,,5.799755052,7.072872015,7,,
1937,8,8,1992,AC,202,205,C,302,F,25,,251.1392216,306.2673434,302,,
1952,6,11,1949,WD,197,76,C,312,,25,,289.6972839,353.2893706,312,,
1953,22,2,1972,IC,191,202,C,251,F,25,,207.2582797,252.7539997,251,,
1968,1,3,1988,MEM,78.3,88,C,23.07,J,25,,18.84375773,22.98019235,23.07,,
1976,1,2,1988,MEM,44.6,52,C,4.74,J,25,,3.84532132,4.689416244,4.74,,
1977,22,2,1972,IC,218,226,C,398,F,25,,329.7760286,402.1658885,398,,
1980,1,2,1988,MEM,46.6,49,C,4.24,J,25,,3.50461265,4.273917866,4.24,,
1981,11,11,1971,IC,259,315,C,660,M,25,,531.0999662,647.6828857,660,,
1985,7,8,1992,AC,54,55,C,8,J,25,,6.648648649,8.108108108,8,,
2016,6,11,1949,WD,242,254,C,666,,26,,550.6626566,671.5398252,666,,
2017,22,2,1972,IC,220,252,C,409,M,26,,332.9038556,405.9803117,409,,
2040,1,2,1988,MEM,38.6,46,C,2.85,J,26,,2.302447027,2.807862228,2.85,,
2041A,4,10,1987,AC,212,247,C,333,F,26,,270.1820743,329.4903345,333,,
2044,1,2,1988,MEM,46.2,49,C,3.8,J,26,,3.136216936,3.8246548,3.8,,
2047A,28,2,1972,IC,198,198,C,263,F,26,,219.2476895,267.3752311,263,,
2050,18,2,1972,IC,253,274,C,583.6,M,26,,479.886647,585.2276183,583.6,,
2072,19,2,1972,IC,159,170,C,126.6,J,27,,104.338165,127.2416647,126.6,,
2079,3,2,1972,IC,185,186,C,214,F,27,,178.2389818,217.3646119,214,,
2080,3,2,1972,IC,225,248,C,399,F,27,,327.0610687,398.8549618,399,,
2081,8,2,1972,IC,144,152,C,104.5,J,27,,86.31776557,105.2655678,104.5,,
2368,7,2,1972,IC,160,175,C,124.5,JF,27,,102.1945171,124.6274599,124.5,,
2609,17,2,1972,IC,157,161,C,119.6,J,27,,99.28270865,121.076474,119.6,,
2623,16,2,1972,IC,120,127,C,55.1,J,27,,45.49217391,55.47826087,55.1,,
2624,8,2,11972,IC,120,126,C,54.5,J,27,,45.05866178,54.94958753,54.5,,
2849,18,2,1972,IC,160,174,C,114.6,J,27,,94.16460943,114.8348895,114.6,,
2873,18,2,1972,IC,82,87,C,15.1,J,27,,12.46157726,15.19704543,15.1,,
2877,18,2,1972,IC,70,74,C,9,J,27,,7.432121371,9.063562647,9,,
2880,17,2,1972,IC,78,77,C,12.5,J,27,,10.44278997,12.73510972,12.5,,
