"","x"
"1",-34.425
"2",-34.475
"3",-34.525
"4",-34.575
"5",-34.625
"6",-34.675
"7",-34.725
"8",-34.775
"9",-34.825
"10",-34.875
"11",-34.925
"12",-34.975
"13",-35.025
"14",-35.075
"15",-35.125
"16",-35.175
"17",-35.225
"18",-35.275
"19",-35.325
"20",-35.375
"21",-35.425
"22",-35.475
"23",-35.525
"24",-35.575
"25",-35.625
"26",-35.675
"27",-35.725
"28",-35.775
"29",-35.825
"30",-35.875
"31",-35.925
"32",-35.975
"33",-36.025
"34",-36.075
"35",-36.125
"36",-36.175
"37",-36.225
"38",-36.275
"39",-36.325
"40",-36.375
"41",-36.425
"42",-36.475
"43",-36.525
"44",-36.575
"45",-36.625
"46",-36.675
"47",-36.725
"48",-36.775
"49",-36.825
"50",-36.875
"51",-36.925
"52",-36.975
"53",-37.025
"54",-37.075
"55",-37.125
"56",-37.175
"57",-37.225
"58",-37.275
"59",-37.325
"60",-37.375
"61",-37.425
"62",-37.475
"63",-37.525
"64",-37.575
"65",-37.625
"66",-37.675
"67",-37.725
"68",-37.775
"69",-37.825
"70",-37.875
"71",-37.925
"72",-37.975
"73",-38.025
"74",-38.075
"75",-38.125
"76",-38.175
"77",-38.225
"78",-38.275
"79",-38.325
"80",-38.375
"81",-38.425
"82",-38.475
"83",-38.525
"84",-38.575
"85",-38.625
"86",-38.675
"87",-38.725
"88",-38.775
"89",-38.825
"90",-38.875
"91",-38.925
"92",-38.975
"93",-39.025
"94",-39.075
"95",-39.125
"96",-39.175
"97",-39.225
"98",-39.275
"99",-39.325
"100",-39.375
"101",-39.425
"102",-39.475
"103",-39.525
"104",-39.575
"105",-39.625
"106",-39.675
"107",-39.725
"108",-39.775
"109",-39.825
"110",-39.875
"111",-39.925
"112",-39.975
"113",-40.025
"114",-40.075
"115",-40.125
"116",-40.175
"117",-40.225
"118",-40.275
"119",-40.325
"120",-40.375
"121",-40.425
"122",-40.475
"123",-40.525
"124",-40.575
"125",-40.625
"126",-40.675
"127",-40.725
"128",-40.775
"129",-40.825
"130",-40.875
"131",-40.925
"132",-40.975
"133",-41.025
"134",-41.075
"135",-41.125
"136",-41.175
"137",-41.225
"138",-41.275
"139",-41.325
"140",-41.375
"141",-41.425
"142",-41.475
"143",-41.525
"144",-41.575
"145",-41.625
"146",-41.675
"147",-41.725
"148",-41.775
"149",-41.825
"150",-41.875
"151",-41.925
"152",-41.975
"153",-42.025
"154",-42.075
"155",-42.125
"156",-42.175
"157",-42.225
"158",-42.275
"159",-42.325
"160",-42.375
"161",-42.425
"162",-42.475
"163",-42.525
"164",-42.575
"165",-42.625
"166",-42.675
"167",-42.725
"168",-42.775
"169",-42.825
"170",-42.875
"171",-42.925
"172",-42.975
"173",-43.025
"174",-43.075
"175",-43.125
"176",-43.175
"177",-43.225
"178",-43.275
"179",-43.325
"180",-43.375
"181",-43.425
"182",-43.475
"183",-43.525
"184",-43.575
"185",-43.625
"186",-43.675
"187",-43.725
"188",-43.775
"189",-43.825
"190",-43.875
"191",-43.925
"192",-43.975
"193",-44.025
"194",-44.075
"195",-44.125
"196",-44.175
"197",-44.225
"198",-44.275
"199",-44.325
"200",-44.375
"201",-44.425
"202",-44.475
"203",-44.525
"204",-44.575
"205",-44.625
"206",-44.675
"207",-44.725
"208",-44.775
"209",-44.825
"210",-44.875
"211",-44.925
"212",-44.975
"213",-45.025
"214",-45.075
"215",-45.125
"216",-45.175
"217",-45.225
"218",-45.275
"219",-45.325
"220",-45.375
"221",-45.425
"222",-45.475
"223",-45.525
"224",-45.575
"225",-45.625
"226",-45.675
"227",-45.725
"228",-45.775
"229",-45.825
"230",-45.875
"231",-45.925
"232",-45.975
"233",-46.025
"234",-46.075
"235",-46.125
"236",-46.175
"237",-46.225
"238",-46.275
"239",-46.325
"240",-46.375
"241",-46.425
"242",-46.475
"243",-46.525
"244",-46.575
"245",-46.625
"246",-46.675
"247",-46.725
"248",-46.775
"249",-46.825
"250",-46.875
"251",-46.925
"252",-46.975
"253",-47.025
"254",-47.075
"255",-47.125
"256",-47.175
"257",-47.225
"258",-47.275
