"","x"
"1",166.475
"2",166.525
"3",166.575
"4",166.625
"5",166.675
"6",166.725
"7",166.775
"8",166.825
"9",166.875
"10",166.925
"11",166.975
"12",167.025
"13",167.075
"14",167.125
"15",167.175
"16",167.225
"17",167.275
"18",167.325
"19",167.375
"20",167.425
"21",167.475
"22",167.525
"23",167.575
"24",167.625
"25",167.675
"26",167.725
"27",167.775
"28",167.825
"29",167.875
"30",167.925
"31",167.975
"32",168.025
"33",168.075
"34",168.125
"35",168.175
"36",168.225
"37",168.275
"38",168.325
"39",168.375
"40",168.425
"41",168.475
"42",168.525
"43",168.575
"44",168.625
"45",168.675
"46",168.725
"47",168.775
"48",168.825
"49",168.875
"50",168.925
"51",168.975
"52",169.025
"53",169.075
"54",169.125
"55",169.175
"56",169.225
"57",169.275
"58",169.325
"59",169.375
"60",169.425
"61",169.475
"62",169.525
"63",169.575
"64",169.625
"65",169.675
"66",169.725
"67",169.775
"68",169.825
"69",169.875
"70",169.925
"71",169.975
"72",170.025
"73",170.075
"74",170.125
"75",170.175
"76",170.225
"77",170.275
"78",170.325
"79",170.375
"80",170.425
"81",170.475
"82",170.525
"83",170.575
"84",170.625
"85",170.675
"86",170.725
"87",170.775
"88",170.825
"89",170.875
"90",170.925
"91",170.975
"92",171.025
"93",171.075
"94",171.125
"95",171.175
"96",171.225
"97",171.275
"98",171.325
"99",171.375
"100",171.425
"101",171.475
"102",171.525
"103",171.575
"104",171.625
"105",171.675
"106",171.725
"107",171.775
"108",171.825
"109",171.875
"110",171.925
"111",171.975
"112",172.025
"113",172.075
"114",172.125
"115",172.175
"116",172.225
"117",172.275
"118",172.325
"119",172.375
"120",172.425
"121",172.475
"122",172.525
"123",172.575
"124",172.625
"125",172.675
"126",172.725
"127",172.775
"128",172.825
"129",172.875
"130",172.925
"131",172.975
"132",173.025
"133",173.075
"134",173.125
"135",173.175
"136",173.225
"137",173.275
"138",173.325
"139",173.375
"140",173.425
"141",173.475
"142",173.525
"143",173.575
"144",173.625
"145",173.675
"146",173.725
"147",173.775
"148",173.825
"149",173.875
"150",173.925
"151",173.975
"152",174.025
"153",174.075
"154",174.125
"155",174.175
"156",174.225
"157",174.275
"158",174.325
"159",174.375
"160",174.425
"161",174.475
"162",174.525
"163",174.575
"164",174.625
"165",174.675
"166",174.725
"167",174.775
"168",174.825
"169",174.875
"170",174.925
"171",174.975
"172",175.025
"173",175.075
"174",175.125
"175",175.175
"176",175.225
"177",175.275
"178",175.325
"179",175.375
"180",175.425
"181",175.475
"182",175.525
"183",175.575
"184",175.625
"185",175.675
"186",175.725
"187",175.775
"188",175.825
"189",175.875
"190",175.925
"191",175.975
"192",176.025
"193",176.075
"194",176.125
"195",176.175
"196",176.225
"197",176.275
"198",176.325
"199",176.375
"200",176.425
"201",176.475
"202",176.525
"203",176.575
"204",176.625
"205",176.675
"206",176.725
"207",176.775
"208",176.825
"209",176.875
"210",176.925
"211",176.975
"212",177.025
"213",177.075
"214",177.125
"215",177.175
"216",177.225
"217",177.275
"218",177.325
"219",177.375
"220",177.425
"221",177.475
"222",177.525
"223",177.575
"224",177.625
"225",177.675
"226",177.725
"227",177.775
"228",177.825
"229",177.875
"230",177.925
"231",177.975
"232",178.025
"233",178.075
"234",178.125
"235",178.175
"236",178.225
"237",178.275
"238",178.325
"239",178.375
"240",178.425
"241",178.475
